sector,china_us_deal_count,india_early_deal_count,china_us_maturity_score,india_early_presence_score,still_early_in_india,china_us_velocity,historical_lag_match,india_still_early_signal,sector_size_potential,transfer_score
FinTech,1102,162,0.7815602836879433,0.2527301092043681,False,0.5571364346316996,0.7815602836879433,0.7472698907956319,0.8200716194558525,0.6907093658521699
Enterprise Services,1340,8,0.950354609929078,0.0124804992199688,False,0.4902050042656111,0.950354609929078,0.9875195007800313,0.29496740383176195,0.6754196649192845
E-Commerce,1410,345,1.0,0.5382215288611545,False,0.41981320896858176,1.0,0.4617784711388455,1.0,0.6602809778152019
Entertainment,1087,17,0.7709219858156028,0.0265210608424337,False,0.4989753270342396,0.7709219858156028,0.9734789391575663,0.4024893317999179,0.6473898148690975
Local Services,1061,0,0.7524822695035461,0.0,True,0.4236469199221225,0.7524822695035461,1.0,0.4572602853495089,0.6261683781471619
Auto & Transportation,682,74,0.4836879432624113,0.1154446177847113,False,0.4036879527005708,0.4836879432624113,0.8845553822152887,0.6994865415824881,0.5642312245762622
Hardware,743,0,0.5269503546099291,0.0,True,0.4160086278192974,0.5269503546099291,1.0,0.31451096393321465,0.5453176843701835
HealthTech,741,141,0.5255319148936171,0.21996879875195,False,0.5207376823726511,0.5255319148936171,0.78003120124805,0.28445305463450316,0.5383522501172502
SaaS,307,20,0.2177304964539007,0.0312012480499219,False,0.5283441566651151,0.2177304964539007,0.9687987519500781,0.23035895513916307,0.49408388044041135
Travel,441,34,0.3127659574468085,0.0530421216848674,False,0.3618151235800815,0.3127659574468085,0.9469578783151326,0.24524614289863994,0.4490960358915572
EdTech,707,95,0.5014184397163121,0.1482059282371295,False,0.2953376959103621,0.5014184397163121,0.8517940717628705,0.23128466236114942,0.4485412019999694
AI,9,12,0.0063829787234042,0.0187207488299532,False,0.5065157029806795,0.0063829787234042,0.9812792511700468,0.2182334206533965,0.4331928892051417
Gaming,701,0,0.4971631205673759,0.0,True,0.1713797302082697,0.4971631205673759,1.0,0.2513395202200402,0.43054360025815785
Real Estate Services,354,26,0.251063829787234,0.0405616224648986,False,0.3512976420411798,0.251063829787234,0.9594383775351014,0.14182261891873546,0.41644608260811106
Social Network,454,0,0.3219858156028369,0.0,True,0.306108237029343,0.3219858156028369,1.0,0.08752718327028029,0.41606882620298846
Sports,256,17,0.1815602836879432,0.0265210608424337,False,0.3872176954939968,0.1815602836879432,0.9734789391575663,0.06124251066371719,0.4041593135506554
Logistics,180,107,0.1276595744680851,0.1669266770670827,False,0.3053217768927074,0.1276595744680851,0.8330733229329172,0.4505258178735036,0.38823714164171325
Advertising & Marketing,276,23,0.1957446808510638,0.0358814352574103,False,0.3122922974863039,0.1957446808510638,0.9641185647425897,0.08771852957858121,0.37983458159259265
Mobile Internet,4,0,0.0028368794326241,0.0,True,0.4271906893171586,0.0028368794326241,1.0,0.00018732971497251264,0.3716135950422654
Tech,3,0,0.002127659574468,0.0,True,0.108695652173913,0.002127659574468,1.0,0.043550100540757225,0.2505426908442958
